type,name,description
Техническая,Математическая,О математике приментиельно
Техническая,Физическая,О физике применительно
Техническая,Компьютерная,"О програмировании, раюоту с компьютером и прочем"
Художественная,Детективы,"Это вымышленные истории, в которых, непременно, действующими лицами являются следователь, расследующий сложное запутанное дело, и подозреваемый. В сюжете обязательно присутствует интрига, и развязка запутанной истории становится ясной лишь в самом её конце."
Художественная,Фантастика,"Особый вид художественной литературы. Автор, как бы заглядывает в будущее и предвосхищает некоторые земные события в своем воображении. Часто фантастика, так и остается фантастикой, но иногда автор очень точно угадывает ход истории или технического прогресса. Книги Жюль Верна — хороший тому пример."
Художественная,Детская,"Книги для детей. Сюда относятся сказки, притчи, поучительные истории, комиксы и раскраски и т.д."
Художественная,Классика,"Книги авторов, стиль письма которых, признан образцом для подражания. Среди русских авторов — это Достоевский, Пушкин, Бунин, Гоголь и другие. Среди зарубежных: Шекспир, Оскар Уайльд, Ирвинг Шоу, Стендаль..."
Художественная,Поэзия,"Особый вид литературы, когда с помощью ассоциативных образов автор, говорит о глубокий своих переживаниях и чувствах."
Художественная,Фэнтези,"Произведения жанра фэнтези основываются на мифологических и сказочных мотивах, переосмысленных или переработанных авторами. Жанр сформировался примерно в начале XV века. В середине XX века наиболее значительное влияние на формирование современного облика классического фэнтези оказали английские писатели Джон Рональд Руэл Толкин, автор романа «Властелин колец», и Клайв Стейплз Льюис, автор «Хроник Нарнии»."
Научная,Математика,Фундаментальные знания о математике
Научная,Философия,"Особая форма познания и система знаний об общих характеристиках, понятиях и принципах реальности (бытия), а также бытия человека, об отношении человека и окружающего его мира"
Учебная,Школьная,Для школьников
Учебная,Вузовская,Для студентов
